date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-02-28,Iran Air,IR9334,Los Angeles,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4239,5887,1648,6633.95,4.5
2026-02-28,Turkish Airlines,TU7911,Paris,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,6888,8697,1809,9543.08,3.1
2026-02-28,Turkish Airlines,TU907,London,Doha,Direct Gulf route,Via Jordan–Egypt alternate,11403,12416,1013,4268.36,4.2
2026-02-28,Air France,AI2443,Tehran,Istanbul,Via Persian Gulf,Via Indian Ocean southern route,7180,9863,2683,12945.15,2.1
2026-02-28,KLM,KL8000,Lahore,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,6222,7574,1352,9305.36,3.1
2026-02-28,Delta Air Lines,DE8371,Doha,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,7454,8206,752,3106.78,1.9
2026-02-28,Ethiopian Airlines,ET1798,Dubai,Delhi,Direct Gulf route,Via Jordan–Egypt alternate,11863,12786,923,5520.86,4.8
2026-02-28,Kuwait Airways,KU5166,Frankfurt,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5248,6134,886,3630.51,4.1
2026-02-28,Ethiopian Airlines,ET8016,Dubai,Cairo,Via Persian Gulf,Via Indian Ocean southern route,5653,7984,2331,15234.98,1.2
2026-02-28,Thai Airways,TH517,Muscat,London,Direct Gulf route,Via Jordan–Egypt alternate,2110,3203,1093,4255.63,1.3
2026-02-28,Gulf Air,GU2830,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,10505,11957,1452,7127.27,3.9
2026-02-28,Ethiopian Airlines,ET1878,Beijing,Tehran,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3487,5382,1895,13024.24,3.2
2026-02-28,IndiGo,IN247,London,Bahrain,Direct Tehran overfly,Via Ashgabat–Almaty route,10092,11850,1758,7982.08,1.4
2026-02-28,Cargolux,CA3617,Dubai,Islamabad,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10745,13441,2696,16767.11,2.6
2026-02-28,American Airlines,AM3089,Dubai,London,Via Baghdad FIR,Via Ankara–Baku corridor,3229,4077,848,3998.99,4.9
2026-02-28,Turkish Airlines,TU6903,New York,Doha,Direct Gulf route,Via Jordan–Egypt alternate,6347,7040,693,4580.02,3.9
2026-02-28,Etihad Airways,ET2480,Islamabad,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8975,9777,802,3269.56,2.3
2026-02-28,Air Arabia,AI3371,Doha,Mumbai,Via Persian Gulf,Via Indian Ocean southern route,3629,6765,3136,19759.97,4.3
2026-02-28,Singapore Airlines,SI5185,Mumbai,Doha,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5802,7240,1438,6854.05,1.7
2026-02-28,Gulf Air,GU6026,Beirut,Paris,Via Strait of Hormuz,Via Red Sea–Suez route,2012,2968,956,5861.89,2.2
2026-02-28,Air Arabia,AI383,Dubai,Frankfurt,Direct Tehran overfly,Via Ashgabat–Almaty route,4439,5236,797,3175.08,5.0
2026-02-28,Lufthansa,LU6655,Abu Dhabi,London,Direct Middle East overfly,Via Central Asian detour,2815,4612,1797,11012.86,4.2
2026-02-28,Iran Air,IR8851,Dubai,Paris,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5832,8075,2243,12088.65,4.2
2026-02-28,Pakistan International Airlines,PA4924,Doha,Mumbai,Direct Middle East overfly,Via Central Asian detour,11821,14100,2279,12809.85,4.8
2026-02-28,FedEx Express,FE8106,Islamabad,Dubai,Direct Middle East overfly,Via Central Asian detour,10057,12429,2372,11416.99,1.2
2026-02-28,Singapore Airlines,SI2866,Riyadh,Cairo,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6351,8687,2336,9357.88,2.0
2026-02-28,United Airlines,UN9936,Washington,Abu Dhabi,Direct Gulf route,Via Jordan–Egypt alternate,11119,12119,1000,4081.95,1.0
2026-02-28,Cathay Pacific,CA9903,Doha,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,5844,7153,1309,7470.62,2.4
2026-03-01,Jazeera Airways,JA2121,Doha,London,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3185,4554,1369,7412.04,2.4
2026-03-01,Ethiopian Airlines,ET9968,Singapore,London,Via Persian Gulf,Via Indian Ocean southern route,9649,11438,1789,9269.27,2.7
2026-03-01,Oman Air,OM1646,Dubai,Karachi,Via Baghdad FIR,Via Ankara–Baku corridor,4681,5268,587,3323.96,1.4
2026-03-01,Air India,AI9030,Riyadh,London,Via Baghdad FIR,Via Ankara–Baku corridor,10691,12052,1361,7407.89,4.9
2026-03-01,Qatar Airways,QA334,Doha,Lahore,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9725,11078,1353,6848.87,1.3
2026-03-01,Saudi Arabian Airlines,SA9440,Frankfurt,Dubai,Direct Middle East overfly,Via Central Asian detour,10580,11715,1135,6696.77,2.9
2026-03-01,British Airways,BR7228,Islamabad,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9271,10552,1281,5303.49,1.8
2026-03-01,United Airlines,UN4072,Dubai,Islamabad,Via Baghdad FIR,Via Ankara–Baku corridor,3911,4411,500,3448.88,2.7
2026-03-01,FedEx Express,FE4911,Beirut,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,3145,3912,767,2805.0,3.8
2026-03-01,Turkish Airlines,TU4252,London,Kuwait City,Via Baghdad FIR,Via Ankara–Baku corridor,10986,12124,1138,6341.09,2.0
2026-03-01,Air Arabia,AI2273,Abu Dhabi,Washington,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6281,8395,2114,12030.73,4.9
2026-03-01,British Airways,BR783,Istanbul,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,4417,5962,1545,6187.63,0.9
2026-03-01,Mahan Air,MA9356,Mumbai,Doha,Via Baghdad FIR,Via Ankara–Baku corridor,2510,3239,729,4493.46,1.7
2026-03-01,Thai Airways,TH6750,Dubai,Paris,Via Baghdad FIR,Via Ankara–Baku corridor,3808,4452,644,2999.23,3.8
2026-03-01,FedEx Express,FE3497,Amman,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,10124,11015,891,5206.39,3.0
2026-03-01,Gulf Air,GU8832,Paris,Beirut,Direct Gulf route,Via Jordan–Egypt alternate,4351,5162,811,3843.39,1.4
2026-03-01,DHL Aviation,DH4303,Dubai,New York,Via Persian Gulf,Via Indian Ocean southern route,4317,7639,3322,13143.92,2.7
2026-03-01,KLM,KL3913,Cairo,Kuwait City,Direct Tehran overfly,Via Ashgabat–Almaty route,5421,6516,1095,5848.6,1.2
2026-03-01,IndiGo,IN609,Paris,Doha,Via Strait of Hormuz,Via Red Sea–Suez route,9091,9788,697,4574.72,4.2
2026-03-01,Cargolux,CA8145,Kuwait City,Mumbai,Via Baghdad FIR,Via Ankara–Baku corridor,10593,11471,878,3713.29,3.0
2026-03-01,Saudi Arabian Airlines,SA5972,Dubai,Cairo,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6431,7636,1205,5113.08,2.6
2026-03-02,Malaysia Airlines,MA5152,Paris,Dubai,Direct Gulf route,Via Jordan–Egypt alternate,8836,9897,1061,6499.82,2.4
2026-03-02,Oman Air,OM8645,Karachi,Dubai,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8321,11038,2717,14895.01,4.8
