airport_name,iata_code,country,region,disruption_type,severity_level,flights_affected,duration_hours,date
Beirut-Rafic Hariri International Airport,BEY,Lebanon,Middle East,Security Lockdown,High,177,66.5,2026-02-27
Damascus International Airport,DAM,Syria,Middle East,Full Closure,Critical,150,54.6,2026-02-27
Queen Alia International Airport,AMM,Jordan,Middle East,Security Lockdown,Critical,150,51.4,2026-02-28
Damascus International Airport,DAM,Syria,Middle East,Fuel Shortage,Critical,150,67.4,2026-02-28
Bahrain International Airport,BAH,Bahrain,Middle East,Flight Cancellations,Critical,150,41.2,2026-02-28
Jinnah International Airport,KHI,Pakistan,South Asia,Security Lockdown,Low,94,63.3,2026-02-28
Mehrabad International Airport,THR,Iran,Middle East,Partial Closure,Critical,150,34.8,2026-02-28
Istanbul Airport,IST,Turkey,Middle East,Fuel Shortage,Moderate,209,58.5,2026-03-01
Baghdad International Airport,BGW,Iraq,Middle East,Security Lockdown,Critical,234,24.0,2026-03-01
Baghdad International Airport,BGW,Iraq,Middle East,Fuel Shortage,Low,28,31.5,2026-03-01
Islamabad International Airport,ISB,Pakistan,South Asia,Staff Evacuation,Moderate,102,2.6,2026-03-01
Bahrain International Airport,BAH,Bahrain,Middle East,Partial Closure,Severe,80,20.3,2026-03-01
King Khalid International Airport,RUH,Saudi Arabia,Middle East,Departure Delays,Moderate,205,21.4,2026-03-01
London Heathrow Airport,LHR,UK,Europe,Full Closure,Low,203,9.0,2026-03-01
King Khalid International Airport,RUH,Saudi Arabia,Middle East,Staff Evacuation,Severe,218,70.9,2026-03-02
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,Ground Stop,Critical,150,24.0,2026-03-02
Beirut-Rafic Hariri International Airport,BEY,Lebanon,Middle East,Security Lockdown,High,32,55.8,2026-03-02
London Heathrow Airport,LHR,UK,Europe,Flight Cancellations,Moderate,122,18.9,2026-03-02
Bahrain International Airport,BAH,Bahrain,Middle East,Security Lockdown,Critical,251,41.9,2026-03-02
King Abdulaziz International Airport,JED,Saudi Arabia,Middle East,Flight Cancellations,Critical,150,24.0,2026-03-02
Damascus International Airport,DAM,Syria,Middle East,Fuel Shortage,Critical,150,40.9,2026-03-02
Changi Airport,SIN,Singapore,Asia Pacific,Departure Delays,Moderate,96,60.0,2026-03-02
Mehrabad International Airport,THR,Iran,Middle East,Staff Evacuation,Moderate,287,61.2,2026-03-02
Cairo International Airport,CAI,Egypt,North Africa,Staff Evacuation,Low,228,41.3,2026-03-03
Bahrain International Airport,BAH,Bahrain,Middle East,Arrival Diversions,Severe,80,68.0,2026-03-03
Bahrain International Airport,BAH,Bahrain,Middle East,Full Closure,Severe,94,16.5,2026-03-03
Muscat International Airport,MCT,Oman,Middle East,Partial Closure,Severe,80,37.9,2026-03-03
Jinnah International Airport,KHI,Pakistan,South Asia,Full Closure,High,220,16.8,2026-03-03
Imam Khomeini International Airport,IKA,Iran,Middle East,Flight Cancellations,Critical,300,31.5,2026-03-03
Damascus International Airport,DAM,Syria,Middle East,Flight Cancellations,Severe,80,43.8,2026-03-03
Hamad International Airport,DOH,Qatar,Middle East,Full Closure,Critical,150,47.3,2026-03-03
Jinnah International Airport,KHI,Pakistan,South Asia,Partial Closure,Low,83,49.4,2026-03-03
Beirut-Rafic Hariri International Airport,BEY,Lebanon,Middle East,Full Closure,Severe,116,69.1,2026-03-04
Baghdad International Airport,BGW,Iraq,Middle East,Staff Evacuation,High,201,52.0,2026-03-04
Basra International Airport,BSR,Iraq,Middle East,Full Closure,High,157,52.9,2026-03-04
Basra International Airport,BSR,Iraq,Middle East,Arrival Diversions,Critical,251,43.8,2026-03-04
Damascus International Airport,DAM,Syria,Middle East,Full Closure,Severe,80,19.3,2026-03-04
Changi Airport,SIN,Singapore,Asia Pacific,Flight Cancellations,Moderate,58,47.2,2026-03-04
King Khalid International Airport,RUH,Saudi Arabia,Middle East,Staff Evacuation,Critical,150,24.0,2026-03-04
Frankfurt Airport,FRA,Germany,Europe,Ground Stop,High,23,3.3,2026-03-04
Abu Dhabi International Airport,AUH,UAE,Middle East,Staff Evacuation,Severe,268,24.0,2026-03-04
Muscat International Airport,MCT,Oman,Middle East,Departure Delays,Critical,150,40.1,2026-03-04
Bahrain International Airport,BAH,Bahrain,Middle East,Full Closure,High,288,71.7,2026-03-04
Ben Gurion Airport,TLV,Israel,Middle East,Full Closure,Critical,150,62.6,2026-03-05
Abu Dhabi International Airport,AUH,UAE,Middle East,Arrival Diversions,Severe,119,44.0,2026-03-05
Baghdad International Airport,BGW,Iraq,Middle East,Ground Stop,Moderate,90,68.6,2026-03-05
