date,airline,flight_number,origin,destination,origin_country,destination_country,aircraft_type,passengers_affected,reason
2026-02-27,Ethiopian Airlines,ET3629,Riyadh,London,Saudi Arabia,UK,Boeing 777-300ER,206,Crew safety — company policy
2026-02-27,Cathay Pacific,CA4629,Cairo,Dubai,Egypt,UAE,Boeing 737 MAX 8,192,Crew safety — company policy
2026-02-27,flydubai,FL4492,Singapore,London,Singapore,UK,Boeing 777-300ER,403,Security risk — conflict zone
2026-02-27,KLM,KL2868,Cairo,Kuwait City,Egypt,Kuwait,Boeing 737 MAX 8,216,Government travel ban
2026-02-27,British Airways,BR3634,Riyadh,London,Saudi Arabia,UK,Boeing 777-300ER,225,Airspace closure — NOTAM
2026-02-27,Malaysia Airlines,MA101,Abu Dhabi,London,UAE,UK,Boeing 787-9 Dreamliner,185,Security risk — conflict zone
2026-02-28,FedEx Express,FE4808,Sydney,Dubai,Australia,UAE,Boeing 737-800,435,Crew safety — company policy
2026-02-28,Lufthansa,LU3496,Abu Dhabi,Washington,UAE,USA,Airbus A380-800,303,Diplomatic advisory — do not fly
2026-02-28,Delta Air Lines,DE4318,Bahrain,Dubai,Bahrain,UAE,Boeing 737-800,406,Airport closure — military activity
2026-02-28,Turkish Airlines,TU5398,London,Singapore,UK,Singapore,Airbus A380-800,196,Airspace closure — NOTAM
2026-02-28,Air Arabia,AI3705,Kuwait City,London,Kuwait,UK,Airbus A320neo,423,Security risk — conflict zone
2026-02-28,Lufthansa,LU9386,New York,Doha,USA,Qatar,Boeing 787-9 Dreamliner,306,Insurance restriction — war zone
2026-02-28,Cathay Pacific,CA5413,Los Angeles,Doha,USA,Qatar,Boeing 737-800,90,Security risk — conflict zone
2026-02-28,Cathay Pacific,CA6619,Abu Dhabi,London,UAE,UK,Airbus A320neo,377,Airport closure — military activity
2026-02-28,Pakistan International Airlines,PA1996,Dubai,Singapore,UAE,Singapore,Boeing 737-800,342,Diplomatic advisory — do not fly
2026-02-28,Etihad Airways,ET4501,Kuwait City,Mumbai,Kuwait,India,Airbus A320neo,89,Crew safety — company policy
2026-02-28,Emirates SkyCargo,EM582,Istanbul,Delhi,Turkey,India,Airbus A380-800,340,Insurance restriction — war zone
2026-02-28,EgyptAir,EG2188,Istanbul,Delhi,Turkey,India,Boeing 777-200LR,279,Airspace closure — NOTAM
2026-02-28,Air Arabia,AI5719,London,Abu Dhabi,UK,UAE,Boeing 737-800,393,Airspace closure — NOTAM
2026-02-28,IndiGo,IN1293,Istanbul,Dubai,Turkey,UAE,Airbus A340-600,439,Diplomatic advisory — do not fly
2026-02-28,Air India,AI2907,London,Dubai,UK,UAE,Boeing 737-800,278,Government travel ban
2026-02-28,Qatar Airways,QA9007,Washington,Abu Dhabi,USA,UAE,Boeing 777-200LR,433,Diplomatic advisory — do not fly
2026-02-28,IndiGo,IN7678,Paris,Doha,France,Qatar,Boeing 737 MAX 8,107,Security risk — conflict zone
2026-02-28,Malaysia Airlines,MA2067,Dubai,Singapore,UAE,Singapore,Boeing 737 MAX 8,346,Fuel supply disruption
2026-02-28,Ethiopian Airlines,ET2938,Los Angeles,Doha,USA,Qatar,Airbus A321neo,443,Insurance restriction — war zone
2026-02-28,Oman Air,OM8861,Karachi,Istanbul,Pakistan,Turkey,Boeing 737-800,89,Airspace closure — NOTAM
2026-02-28,IndiGo,IN156,Dubai,London,UAE,UK,Boeing 777-300ER,238,Insurance restriction — war zone
2026-02-28,Ethiopian Airlines,ET4466,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A330-300,134,Security risk — conflict zone
2026-02-28,United Airlines,UN7327,Istanbul,Dubai,Turkey,UAE,Boeing 787-10 Dreamliner,398,Insurance restriction — war zone
2026-02-28,Oman Air,OM1362,Cairo,Kuwait City,Egypt,Kuwait,Airbus A320neo,280,Security risk — conflict zone
2026-02-28,Kuwait Airways,KU4723,Cairo,Kuwait City,Egypt,Kuwait,Airbus A320neo,330,Diplomatic advisory — do not fly
2026-02-28,KLM,KL5122,Singapore,Dubai,Singapore,UAE,Boeing 787-9 Dreamliner,333,Crew safety — company policy
2026-02-28,Cathay Pacific,CA8807,Moscow,Tehran,Russia,Iran,Airbus A321neo,159,Airspace closure — NOTAM
2026-02-28,Air Arabia,AI3565,Dubai,Karachi,UAE,Pakistan,Boeing 787-9 Dreamliner,112,Security risk — conflict zone
2026-02-28,Cargolux,CA8910,Dubai,London,UAE,UK,Boeing 777-200LR,160,Fuel supply disruption
2026-02-28,Air France,AI5045,Cairo,Riyadh,Egypt,Saudi Arabia,Airbus A350-900,406,Airport closure — military activity
