airline,country,airline_type,estimated_loss_usd,cancellations_count,reroutes_count,revenue_loss_pct,region
Saudi Arabian Airlines,Saudi Arabia,Flag Carrier,943490000.0,171,35,39.0,Middle East
Etihad Airways,UAE,Flag Carrier,883530000.0,169,93,35.0,Middle East
flydubai,UAE,Low Cost,858190000.0,174,24,20.4,Middle East
Oman Air,Oman,Flag Carrier,837630000.0,135,38,26.7,Middle East
Air Arabia,UAE,Low Cost,762000000.0,75,26,30.5,Middle East
Qatar Airways,Qatar,Flag Carrier,686350000.0,142,80,44.3,Middle East
Jazeera Airways,Kuwait,Low Cost,549020000.0,50,99,19.2,Middle East
Gulf Air,Bahrain,Flag Carrier,530970000.0,98,86,30.2,Middle East
Mahan Air,Iran,Private,447860000.0,146,51,37.9,Middle East
Iran Air,Iran,Flag Carrier,435870000.0,120,40,26.4,Middle East
Emirates,UAE,Flag Carrier,394320000.0,133,77,21.7,Middle East
Emirates SkyCargo,UAE,Cargo,266800000.0,132,95,43.4,Middle East
Kuwait Airways,Kuwait,Flag Carrier,262930000.0,93,63,33.2,Middle East
Turkish Airlines,Turkey,Flag Carrier,98160000.0,80,10,7.7,Middle East
IndiGo,India,Low Cost,94260000.0,37,10,12.7,South Asia
American Airlines,USA,Flag Carrier,55740000.0,6,20,5.6,North America
Cargolux,Luxembourg,Cargo,52840000.0,18,28,5.6,Europe
Ethiopian Airlines,Ethiopia,Flag Carrier,46270000.0,31,20,9.3,Africa
Delta Air Lines,USA,Flag Carrier,46180000.0,9,16,8.6,North America
Malaysia Airlines,Malaysia,Flag Carrier,46060000.0,13,16,6.2,Asia Pacific
Pakistan International Airlines,Pakistan,Flag Carrier,44000000.0,50,32,8.2,South Asia
Air India,India,Flag Carrier,39940000.0,53,46,5.8,South Asia
EgyptAir,Egypt,Flag Carrier,38220000.0,62,15,19.8,Africa
British Airways,UK,Flag Carrier,37180000.0,34,16,3.0,Europe
Air France,France,Flag Carrier,34520000.0,30,23,9.0,Europe
Singapore Airlines,Singapore,Flag Carrier,34160000.0,26,30,9.6,Asia Pacific
Lufthansa,Germany,Flag Carrier,26760000.0,22,26,6.2,Europe
KLM,Netherlands,Flag Carrier,20300000.0,35,27,8.9,Europe
Cathay Pacific,Hong Kong,Flag Carrier,18870000.0,27,8,4.6,Asia Pacific
United Airlines,USA,Flag Carrier,18800000.0,40,15,7.6,North America
Thai Airways,Thailand,Flag Carrier,17800000.0,8,25,6.4,Asia Pacific
FedEx Express,USA,Cargo,15580000.0,26,32,3.1,North America
DHL Aviation,Germany,Cargo,10330000.0,8,21,10.9,Europe
